	m1_multipep_001_nat	m1_nopep_001_nat	m1_onexpep_001_nat	m2_multipep_001_nat	m2_nopep_001_nat	m2_onexpep_001_nat	m3_multipep_001_nat	m3_nopep_001_nat	m3_onexpep_001_nat	m4_multipep_001_nat	m4_nopep_001_nat	m4_onexpep_001_nat	m5_multipep_001_nat
St6gal1	3259	13422	4230	4618	11336	3379	3257	11197	4394	6966	21757	5739	4661
St6gal2	0	4	0	1	1	0	0	4	1	1	1	1	0
St6galnac1	0	0	0	0	1	0	0	0	0	0	0	1	0
St6galnac2	176	420	283	442	291	363	298	442	452	598	531	521	368
St6galnac3	695	2625	1495	3302	6266	2036	839	3053	1614	2587	4630	3695	2644
St6galnac4	1778	1308	1241	2357	673	1522	2610	1356	1877	4018	1918	2376	3072
St6galnac5	0	4	1	0	3	1	0	0	0	1	7	4	0
St6galnac6	1042	229	255	987	171	414	1098	231	551	1780	363	633	1619
St7	1585	3309	2405	6073	3881	2626	2762	2596	2571	5790	5756	4608	4961
St7l	861	1461	1298	1878	1421	1095	1082	1231	1208	2480	2603	2105	1942
St8sia1	307	3776	2631	830	5679	3060	355	3830	4060	2539	6929	6540	1771
St8sia2	0	0	0	0	0	0	0	0	0	0	0	0	0
St8sia3	0	0	0	0	0	0	0	0	0	0	0	0	0
St8sia3os	0	0	0	0	1	0	0	1	0	2	1	1	0
St8sia4	967	2681	2194	2433	3815	2381	1014	1995	1545	2275	2938	2326	2870
St8sia5	1	0	1	1	0	0	5	0	1	1	1	0	3
St8sia6	13	13	3	36	16	3	15	31	8	39	22	5	18
Stab1	49	43	16	41	22	15	45	43	20	124	27	10	103
Stab2	1	4	0	0	7	0	0	4	0	3	1	2	1
Stac	0	1	0	4	1	1	1	3	1	4	1	1	2
Stac2	16	28	33	8	32	59	20	65	55	38	45	32	11
Stac3	43	93	50	66	57	50	24	55	42	99	62	101	96
Stag1	7400	13177	9962	25807	15784	11993	10057	9054	9634	19500	16591	14127	15317
Stag2	7960	14518	11023	22618	13653	11366	10288	11035	8542	17557	13136	11547	14221
Stag3	100	135	100	293	227	232	148	204	169	160	283	197	278
Stam	1048	1597	1135	2442	1670	1101	1179	1269	1099	2873	2169	1777	2009
Stam2	1165	1679	1352	2318	1538	1426	1472	1328	1717	3067	2361	2208	2164
Stambp	685	674	642	863	543	711	807	706	817	1800	1109	1033	1480
Stambp-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0
Stambpl1	2081	4080	2839	4401	5332	2467	2366	3915	2846	6868	8258	6036	5882
Stamos	7	14	9	11	4	10	10	11	11	18	20	6	20
Stap1	1322	1627	1916	3208	1629	1845	1600	1458	2109	3534	2610	3328	3756
Stap2	3	9	13	2	16	11	3	16	20	8	31	22	6
Star	198	447	305	419	321	363	265	488	493	677	810	753	545
Stard10	315	165	172	408	76	199	477	169	266	687	181	214	653
Stard13	82	1	4	50	0	11	71	0	5	203	5	12	163
Stard3	719	902	548	682	455	660	913	776	622	1398	1349	890	1127
Stard3nl	747	502	489	1109	514	602	923	594	465	1774	836	759	1779
Stard4	3960	1891	1759	5972	1786	2813	4895	2229	2396	7392	2345	1827	7348
Stard5	338	1021	887	575	709	969	418	907	982	859	1135	815	627
Stard6	117	121	58	267	158	100	200	103	137	451	218	159	384
Stard7	3426	3462	2403	4911	2095	2841	4790	3369	2353	6778	4525	3307	5717
Stard8	6	11	6	29	9	30	19	7	21	55	16	21	63
Stard9	79	79	56	155	63	61	87	88	83	249	146	90	209
Stat1	1421	2380	3835	2272	1617	3611	1913	1876	4439	4225	2592	7516	2914
Stat2	1083	1153	1370	985	717	1508	1152	1068	1752	4739	1947	2517	2951
Stat3	23743	5764	5891	17993	2967	6479	21705	4802	6817	61321	7123	7749	29760
Stat4	4975	8266	8582	9477	9229	7411	4733	5105	6692	16045	11600	11665	9884
Stat5a	3640	2392	2123	3461	1084	2074	4241	2146	2327	8144	3150	2820	5437
Stat5b	6119	7526	6226	6247	4007	5789	6458	6254	5924	14010	12168	9909	11274
Stat6	5209	5577	4678	5136	2070	4958	6069	4416	4768	8857	5369	5057	7274
Stau1	1918	2667	2101	3010	1888	2151	2247	2472	2474	5107	4400	3464	3496
Stau2	178	37	30	555	53	34	297	24	33	636	69	54	469
Stbd1	11	0	3	9	0	2	11	0	2	19	1	1	16
Stc1	6	2	3	1	0	2	0	4	8	9	1	0	2
Stc2	956	99	585	520	92	604	712	57	621	2402	120	395	1316
Steap1	0	0	0	3	0	1	0	0	0	0	0	0	0
Steap2	0	0	0	0	0	0	0	0	0	0	0	0	0
Steap3	151	238	103	280	183	200	233	375	344	252	292	115	353
Steap4	0	1	1	0	0	0	0	1	0	1	0	0	0
Stfa1	0	1	2	0	0	0	0	0	0	0	0	0	0
Stfa2	0	0	0	0	0	0	0	0	0	0	0	0	0
Stfa2l1	0	0	0	0	0	0	0	0	0	0	0	0	0
Stfa3	0	0	0	0	0	0	0	0	0	0	0	0	0
Stil	2967	1364	1193	5643	1665	2806	3693	1845	1670	7472	1992	1375	6289
Stim1	3320	11990	8883	6928	10536	7931	4112	8843	7648	9964	20148	14916	8071
Stim2	3853	6847	6536	8357	7462	5768	4122	4808	6010	11365	10670	9872	8698
Stip1	8535	4516	2610	9219	2163	3989	10733	4319	2789	12026	4381	2931	10224
Stk-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0
Stk-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0
Stk10	9626	13836	10516	11722	8483	10699	11932	12484	12444	23570	24007	19110	15865
Stk11	3457	2066	1855	3390	905	2192	4103	1981	2076	6738	2751	2196	4935
Stk11ip	1062	899	648	1128	459	996	1432	872	871	2187	1333	1128	1512
Stk16	915	728	636	890	434	868	1128	835	685	1464	1015	790	1378
Stk17b	6149	21022	16507	16712	17115	16437	8635	18548	13820	11436	18892	16093	11416
Stk19	768	821	748	1307	565	959	1007	872	1156	2236	1362	1617	1680
Stk19-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0
Stk24	9028	10507	8062	15352	7999	9347	12958	10287	11442	22522	18525	14407	16797
Stk25	1568	1468	1211	1681	714	1311	1666	1350	1378	3062	1817	1572	2475
Stk26	1283	4174	1698	2932	3556	2076	1747	3302	1603	2605	4299	2077	2441
Stk3	965	932	771	3180	1335	881	1187	744	720	3209	1470	1158	2596
Stk31	7	7	2	11	12	3	4	3	1	7	5	2	1
Stk32a	0	0	0	0	0	0	0	0	0	2	0	0	0
Stk32b	2	3	0	7	3	1	2	3	2	7	6	3	1
Stk32c	350	24	60	492	34	130	468	45	109	845	47	47	595
Stk33	1	1	0	3	5	0	0	0	1	4	2	0	6
Stk35	1958	1289	1043	2837	1080	1648	2295	1435	1296	4227	2091	1326	3190
Stk36	15	4	1	9	2	5	15	0	0	27	8	2	22
Stk38	2324	9792	7635	3680	6228	6943	3039	7830	7340	6574	16832	14536	5780
Stk38l	2701	1005	1380	4662	701	1383	2562	730	1463	8931	1692	2275	7055
Stk39	23038	2602	9200	45439	3623	10233	21990	2364	9058	62721	4356	11752	41264
Stk4	9402	23976	15313	14251	16908	14483	10862	18875	14408	24699	34896	24441	18001
Stk40	2537	1456	1215	2247	788	1553	2851	1369	1607	5367	1871	1321	3608
Stkld1	84	300	238	211	217	292	119	309	381	299	427	334	275
Stmn1	6544	4143	2781	7264	2632	6381	8976	6648	3327	8127	4438	2064	9256
Stmn2	0	1	0	0	1	4	1	0	1	1	1	0	0
Stmn3	2	13	18	24	24	13	6	34	20	13	99	91	44
Stmn4	2	1	2	0	2	1	2	2	3	3	6	11	10
Stmnd1	0	0	0	0	0	0	0	0	0	0	0	0	0
Stn1	723	1371	1206	1129	1141	1343	955	1480	1409	1575	2507	2259	1840
Stom	125	33	32	130	8	12	161	30	52	231	16	18	262
Stoml1	703	673	683	914	447	863	972	787	900	2123	1047	1134	1589
Stoml2	3006	1253	1081	3122	669	1248	3532	1443	981	4179	902	799	3520
Stoml3	10	62	14	31	26	17	10	30	12	20	24	15	9
Ston1	388	40	46	476	58	90	421	87	95	858	28	64	865
Ston2	686	236	75	952	241	144	1113	540	182	2019	363	65	1829
Stox1	10	7	10	44	10	10	25	10	9	40	10	6	63
Stox2	6	2	6	24	4	3	18	4	8	40	10	11	32
Stpg1	12	26	19	3	18	12	1	16	26	8	37	23	13
Stpg2	43	24	14	82	32	36	57	25	43	83	26	20	70
Stpg3	1	0	0	8	1	2	2	3	2	4	8	3	4
Stpg4	19	81	55	74	60	78	36	58	73	84	57	44	40
Stra6	0	0	0	5	1	0	4	2	0	0	0	0	0
Stra6l	1	0	0	3	0	0	1	0	1	0	2	0	1
Stra8	2	0	0	9	0	2	0	4	0	7	0	0	1
Strada	920	1638	1330	1429	1332	1438	1217	1422	1523	2693	3077	3090	2312
Stradb	297	292	250	364	247	297	296	225	264	436	443	417	484
Strap	5334	3695	2544	6934	2104	3261	7094	3750	2703	8757	2983	2259	6623
Strbp	2991	3561	2023	5997	2610	2225	3398	2607	1798	6562	4172	2764	6143
Strc	5	12	11	11	7	12	2	17	4	9	19	17	5
Strip1	1390	1457	1052	1514	608	1268	1636	1262	1264	2668	1573	1298	1797
Strip2	6	37	9	23	37	9	17	114	12	20	41	7	16
Strn	2952	3573	3004	5160	3120	3211	3604	3194	3165	5965	5645	4556	4987
Strn3	3360	5936	4691	10740	7023	4564	4289	4004	4497	12365	9472	9084	9406
Strn4	2290	2465	1649	2647	1242	1894	3050	2182	1967	5275	3622	2544	3783
Stt3a	6322	4219	3269	10680	3332	4437	9108	3811	4023	10858	4646	4172	8449
Stt3b	8878	7832	5479	15451	6068	6527	11830	6247	6010	17895	9778	6916	12506
Stub1	0	0	0	0	0	0	0	0	0	0	0	0	0
Stum	39	311	77	73	105	100	19	103	41	38	45	8	7
Stx11	2435	135	470	2502	137	737	2243	211	874	5408	126	465	2770
Stx12	1144	977	824	1918	984	1030	1221	1012	1108	3090	2093	1848	2661
Stx16	2513	3310	2612	4223	2658	2975	2867	2604	3028	7675	5686	5589	6436
Stx17	689	1230	1070	1331	1394	1170	832	1196	1628	1961	2493	2607	1801
Stx18	1752	2388	2106	3839	2613	2419	2155	2131	2901	5089	4439	4038	3735
Stx19	0	0	0	0	0	0	0	0	0	0	0	0	0
Stx1a	408	1307	1027	500	760	827	424	1268	1159	1744	3141	2321	1088
Stx1b	8	6	6	9	2	4	12	5	3	28	4	7	12
Stx2	426	2465	1170	338	983	960	414	1933	1118	769	3530	2138	704
Stx3	109	166	115	261	156	191	155	191	211	301	196	214	222
Stx4a	1292	1610	1044	1097	664	1132	1399	1297	1174	2465	1773	1514	1939
Stx5a	1217	2096	1747	1563	1159	1649	1590	1765	1634	2792	2675	2406	2347
Stx6	1758	2090	1323	2674	1313	1298	2353	1773	1635	5207	3229	2203	3559
Stx7	627	528	482	1028	381	533	768	439	585	1532	671	607	1204
Stx8	3010	5036	5097	6540	4889	4785	3306	3977	5845	10598	9966	10516	7623
Stxbp1	329	71	46	301	55	112	352	104	122	810	106	89	831
Stxbp2	2743	2579	2188	2755	1203	2623	3420	2269	2384	5487	2845	2719	4129
Stxbp3	931	2166	1917	1849	1755	1539	1128	1785	1832	3161	3369	3447	2431
Stxbp3-ps	4	3	1	4	4	2	1	2	2	5	3	3	2
Stxbp4	616	571	441	1197	446	411	683	385	432	1758	691	501	1367
Stxbp5	3653	4458	4372	8288	4215	4563	4251	3241	4120	8947	5888	6099	7113
Stxbp5l	1	5	0	4	8	5	4	1	2	6	2	0	5
Stxbp6	46	37	56	79	74	54	28	23	23	229	42	71	189
Styk1	116	22	16	380	38	59	241	26	105	370	64	11	214
Styx	411	647	587	1002	576	514	545	573	540	1274	1016	1001	1108
Styxl1	10	80	43	16	73	41	19	61	55	50	280	197	72
Sub1	4819	5756	4734	9935	4625	5356	7139	6306	4798	7971	3784	3009	6830
Sucla2	1697	2041	1394	3111	1560	1641	2270	1907	1454	3508	2345	1880	2758
Suclg1	2306	1987	1498	2825	1167	1651	2853	2104	1515	3960	2520	1880	3488
Suclg2	2791	6211	4671	6310	6456	4622	3543	4890	5062	8555	11250	9244	7607
Sucnr1	0	0	0	0	0	0	0	0	0	1	0	0	0
Suco	2347	6530	3594	6081	6694	3922	2663	4750	3439	5988	7235	4105	4486
Suds3	2422	2939	1857	2687	1328	2325	2925	2950	2131	4385	3330	2535	3773
Sufu	2051	2684	2101	2929	1643	2465	2440	2452	2790	5345	4505	3470	4031
Sugct	70	502	181	137	679	115	68	254	162	164	777	433	147
Sugp1	1910	1973	1469	2354	1265	2036	2514	2044	2217	4904	3207	2553	3569
Sugp2	1737	2211	1559	2266	1469	1843	1897	2142	2340	4897	3581	3196	3861
Sugt1	2670	4793	3435	4202	3106	3200	3083	4954	3350	5639	5312	4550	4186
Sulf1	3	2	0	8	4	1	3	1	1	5	2	1	0
Sulf2	50	157	110	137	118	108	82	198	108	156	135	69	62
Sult1a1	24	90	43	85	68	50	44	79	86	144	257	179	151
Sult1b1	0	0	0	0	0	0	0	0	0	1	0	0	1
Sult1c1	1	0	1	0	0	0	0	0	0	0	0	0	0
Sult1c2	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult1c2-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult1c2-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult1d1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult1e1	0	0	1	0	0	0	0	0	0	0	0	0	0
Sult2a-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult2a-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult2a-ps3	0	0	0	0	0	0	0	0	0	1	0	0	0
Sult2a-ps4	0	0	1	1	0	1	1	3	2	6	3	0	1
Sult2a1	0	0	0	0	0	0	0	0	0	0	0	1	0
Sult2a2	5	2	2	4	2	6	3	3	1	3	4	3	3
Sult2a3	0	2	1	1	0	0	0	1	0	0	6	1	3
Sult2a4	0	1	0	2	3	0	0	0	0	3	0	0	2
Sult2a5	1	1	0	1	0	1	0	0	1	1	0	0	0
Sult2a6	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult2a7	0	0	0	0	0	0	0	1	0	0	0	0	0
Sult2a8	0	0	0	1	0	0	0	0	1	0	1	0	0
Sult2b1	438	450	648	719	478	722	596	460	898	1487	1279	1777	1695
Sult3a1	0	2	0	0	0	0	0	0	0	0	0	0	1
Sult3a2	0	0	0	1	0	0	0	0	0	0	0	0	0
Sult4a1	0	6	3	0	1	2	2	1	5	2	7	0	1
Sult5a1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult6b1	21	78	46	30	58	59	15	53	47	47	91	78	50
Sult6b2	1	22	3	3	13	3	2	19	10	1	11	11	2
Sumf1	1011	1192	770	2131	1294	1042	1449	1154	1226	2968	2038	1603	2147
Sumf2	577	622	430	700	374	407	650	575	391	1030	823	615	930
Sumo1	2666	4882	3226	6075	3592	3728	3666	4399	3208	5992	4594	3787	4860
Sumo2	2038	2478	1796	3618	1757	2418	2650	2663	2048	4234	2981	2455	3859
Sumo3	1772	1700	1149	2554	990	1638	2467	2163	1544	3425	1663	1274	2638
Sun1	3141	2415	3151	3042	1605	3088	3248	2534	4576	7018	4490	5809	5687
Sun2	4708	12088	8409	5167	4344	10359	6380	11129	9842	8194	12992	9818	7274
Sun3	0	4	1	4	1	6	0	2	3	1	7	5	4
Sun5	0	1	0	0	0	0	0	0	0	0	0	0	0
Suox	603	583	849	579	292	788	736	527	683	830	462	495	807
Supt16	7675	5550	3891	13218	4803	5705	10762	5690	4455	13797	6784	5101	12700
Supt20	2765	3001	2641	4610	2354	2828	3351	2483	2862	6159	4447	4731	5273
Supt20-ps	0	0	0	0	0	0	0	0	0	0	0	0	0
Supt3	2379	2766	2010	6286	3369	2246	2321	1609	1504	6694	3810	2844	5808
Supt4a	1839	2233	2011	2498	1051	1995	2379	1991	1610	2645	1594	1573	2214
Supt5	3670	3991	2437	4101	2046	3347	4778	3580	3162	7254	4712	3585	5441
Supt6	8020	6087	4146	8705	3195	5128	10363	5623	5479	15361	8069	6276	11251
Supt7l	611	637	435	753	489	645	852	737	639	1147	781	565	948
Supv3l1	1169	1125	783	1733	769	1014	1423	1131	989	2665	1503	1144	2097
Surf1	936	1217	1149	1046	603	1134	1048	1207	1223	1221	1184	1084	1252
Surf2	781	798	561	931	496	621	888	742	651	1405	1070	851	1150
Surf4	4975	3467	3122	5231	1764	4580	6450	3918	4219	7591	3585	3366	5678
Surf6	1532	1616	1262	2250	1189	1748	2165	1907	2126	3526	2508	2147	3004
Susd1	743	843	997	1545	533	901	1086	1154	890	1841	864	556	1736
Susd2	17	85	51	34	46	64	28	87	73	59	97	47	61
Susd3	577	780	678	821	743	1193	897	1103	1394	1263	1371	928	1319
Susd4	12	31	11	14	14	5	12	18	12	19	75	35	33
Susd5	0	0	0	0	0	0	1	0	1	0	0	0	0
Susd6	2853	8206	6527	6734	6960	6196	3603	6547	7208	8963	13527	11726	6407
Suv39h1	2	2	0	1	0	0	2	0	0	0	0	0	4
Suv39h2	301	209	125	482	120	152	399	161	167	534	214	174	386
Suz12	4514	3803	2731	9894	3640	4148	6080	4004	3468	10224	5517	4621	9047
Sv2a	129	264	218	170	151	211	198	291	304	415	507	537	412
Sv2b	1	1	2	4	2	0	3	1	1	3	2	4	4
Sv2c	97	284	178	187	261	199	135	433	224	280	349	169	204
Sva	0	0	0	0	0	0	0	0	0	1	0	0	0
Sval1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sval2	0	0	0	0	0	0	0	0	0	0	0	0	0
Sval3	0	0	0	0	0	0	0	0	0	0	0	0	0
Svbp	258	553	393	261	220	381	367	517	386	404	435	338	361
Svep1	0	2	0	0	5	0	1	2	1	2	1	0	4
Svet1	0	0	0	0	0	0	0	0	0	0	0	0	0
Svil	4577	8027	6488	8980	6414	6361	5559	5635	6273	13087	12718	11027	11022
Svip	52	3	5	96	3	15	73	6	6	168	6	8	140
Svop	10	0	1	19	0	2	8	3	2	23	1	0	8
Svopl	24	86	43	74	66	42	26	45	48	61	53	51	28
Svs1	0	0	0	0	0	0	0	0	0	0	0	0	0
Svs2	0	0	0	0	0	0	0	0	0	0	0	0	0
Svs3a	0	0	0	0	0	0	0	0	0	0	0	0	0
Svs3b	0	0	0	0	0	0	0	0	0	0	0	0	0
Svs4	3	0	0	0	0	0	0	0	0	0	0	0	0
Svs5	0	0	0	0	0	0	0	0	0	0	0	0	0
Svs6	0	0	0	0	0	0	0	0	0	0	0	0	0
Swap70	477	129	318	769	83	405	634	239	589	847	196	295	1163
Swi5	1936	1176	947	2494	692	1130	2453	1491	1073	3176	1393	1156	3059
Swsap1	148	213	147	160	109	186	180	211	166	160	245	186	162
Swt1	1130	1724	1325	2457	1599	1170	1085	1362	1327	3087	2680	2326	2328
Syap1	643	827	826	1195	653	848	855	916	868	1633	1023	1076	1250
Sybu	5	27	23	15	22	15	5	22	20	31	16	12	15
Syce1	10	12	9	25	21	24	15	5	2	0	11	11	17
Syce1l	4	43	18	21	29	18	9	27	35	23	42	23	16
Syce2	948	336	376	923	228	556	1048	442	297	1535	329	323	1265
Syce3	3	0	3	0	3	0	0	4	2	6	2	1	0
Sycn	0	0	0	0	0	0	0	0	0	0	0	0	0
Sycp1	2	2	3	5	3	0	0	1	3	8	6	4	5
Sycp1-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sycp2	0	0	0	0	0	0	0	0	0	0	0	0	0
Sycp2l	1	3	1	5	3	2	2	2	10	5	8	6	6
Sycp3	0	0	0	0	0	0	0	0	0	0	0	0	0
Syde1	91	154	28	114	100	54	101	174	66	204	183	37	145
Syde2	315	811	204	206	485	168	270	668	149	677	1242	325	585
Syf2	1788	2640	1730	1890	1072	1689	2260	2551	1676	2808	2141	1626	2022
Syk	2	31	5	5	23	18	3	89	22	11	38	8	9
Sympk	7327	4007	2835	5865	1631	3653	8285	3363	3219	11534	5100	4046	8389
Syn1	74	123	116	112	134	97	84	83	132	211	215	252	193
Syn2	1	0	2	4	5	2	1	0	2	5	5	1	4
Syn3	25	111	82	59	73	40	31	118	75	121	193	105	77
Syna	15	1	0	34	0	0	25	0	0	24	1	0	20
Synb	0	0	0	0	0	0	0	0	0	0	0	0	0
Sync	130	309	179	262	236	237	175	276	199	412	272	184	265
Syncrip	5259	5300	3798	12841	5156	5052	7380	5196	4526	11271	6710	5216	9120
Syndig1	1	2	2	2	0	2	0	0	0	0	0	1	2
Syndig1l	0	2	1	0	1	2	0	0	3	0	2	1	2
Syne1	1496	6137	6187	2536	5162	6490	2105	4819	6505	3714	8943	11095	3983
Syne2	513	2258	1599	790	1709	2263	736	2428	2001	1033	3515	2034	1110
Syne3	5681	2542	2360	7494	1846	3880	6978	3127	3568	13704	4078	3493	11746
Syne4	22	11	11	25	7	10	23	9	12	77	28	35	77
Syngap1	140	75	45	112	47	61	157	49	96	437	91	80	422
Syngr1	201	10	24	168	12	20	292	21	49	427	39	23	397
Syngr2	0	0	0	0	0	0	0	0	0	0	0	0	0
Syngr3	40	8	49	15	20	60	50	8	71	90	10	28	51
Syngr4	38	57	42	84	64	84	58	80	88	149	146	116	153
Synj1	2265	2801	2291	3831	1991	2299	2560	2041	2040	5917	4123	3362	4457
Synj2	716	599	318	1250	577	459	922	840	663	2521	1362	635	1519
Synj2bp	0	0	0	0	0	0	0	0	0	0	0	0	0
Synm	0	0	0	0	0	0	0	0	0	0	0	0	0
Synpo	2789	93	977	3582	79	1013	3354	119	1139	6089	165	1441	5101
Synpo2	6	6	3	16	2	2	6	0	2	10	7	4	13
Synpo2l	9	18	8	27	10	11	21	29	16	45	33	22	31
Synpr	1	1	2	1	4	2	1	2	1	2	3	11	1
Synrg	2583	4545	2804	3214	2438	3245	3267	3763	3386	4512	6586	4403	4202
Syp	26	35	21	12	13	13	11	41	19	30	41	22	16
Sypl	544	171	134	957	173	282	687	173	272	1187	225	188	924
Sypl2	6	19	9	16	22	12	7	8	20	27	20	20	35
Sys1	9	6	5	13	6	8	17	1	19	59	4	11	38
Syt1	0	1	1	0	2	1	2	3	1	6	4	2	7
Syt10	1	0	0	0	1	1	0	0	0	0	0	2	0
Syt11	843	918	1433	854	451	1259	1003	799	1400	1864	1088	1496	1250
Syt12	10	0	2	27	4	1	20	3	1	36	0	4	34
Syt13	2	45	19	2	24	9	9	35	13	9	36	19	5
Syt14	10	2	11	40	8	12	11	5	10	41	7	36	51
Syt15	9	75	50	12	50	44	17	83	36	44	99	82	32
Syt16	9	5	1	15	7	12	11	9	5	19	13	8	16
Syt17	1	2	0	1	0	0	2	2	0	1	0	0	2
Syt2	7	83	20	41	55	38	16	71	25	32	86	31	19
Syt3	0	4	1	1	0	0	0	2	0	1	3	1	3
Syt4	0	0	0	0	0	0	0	0	0	0	0	0	0
Syt5	25	3	8	10	0	1	17	0	13	34	1	3	10
Syt6	14	2651	1378	26	2819	361	23	3017	469	39	6217	4409	35
Syt7	2	0	3	7	0	1	16	1	1	16	2	1	7
Syt8	0	0	0	0	0	0	0	0	0	0	0	0	0
Syt9	1	1	1	5	0	2	0	2	1	1	1	0	0
Sytl1	114	1448	648	181	608	725	214	1540	771	338	1561	746	337
Sytl2	554	505	335	1681	585	1077	1058	800	1259	1166	668	267	1043
Sytl3	836	1839	1681	1767	2638	2741	1528	2931	3536	2743	3565	2412	1453
Sytl4	0	2	1	3	1	1	0	0	0	0	0	3	3
Sytl5	4	1	1	2	1	0	3	2	2	2	1	4	2
Syvn1	1130	1003	852	1316	394	931	1635	771	853	2257	1188	863	1451
Szrd1	3485	3176	2102	3960	1548	2798	4476	3230	2647	6761	3915	2963	5111
Szt2	2644	2870	2255	2954	1558	2685	3182	2207	2414	6896	4546	4438	5323
T	0	0	0	0	0	0	0	0	0	0	1	0	0
T2	2	9	2	4	5	2	1	10	1	20	20	8	5
Taar1	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar2	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar3	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar4	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar5	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar6	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7a	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7b	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7c-ps	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7d	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7e	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7f	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar8a	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar8b	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar8c	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar9	0	0	0	0	0	0	0	0	0	0	0	0	0
Tab1	1264	1598	1140	1945	1192	1422	1668	1776	1869	3835	3047	2689	3529
Tab2	5903	6322	7532	11230	5791	10590	8054	5589	10748	15318	9336	10535	12636
Tab3	704	1574	1204	2154	1747	1300	1190	1337	1392	1963	2006	1869	1542
Tac1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tac2	0	0	0	0	0	1	0	0	0	0	0	0	0
Tac4	81	257	162	286	195	232	149	247	301	343	283	203	208
Tacc1	3948	7533	5356	5773	4199	6624	5489	7102	7113	6919	9984	8295	7723
Tacc2	0	0	0	0	0	0	0	0	0	0	0	0	0
Tacc3	3816	1403	1137	4742	1112	2690	5060	2169	1816	7953	2034	1262	6313
Taco1	447	335	314	488	173	297	504	313	233	606	493	396	668
Taco1os	5	14	5	17	13	6	9	15	13	17	10	5	9
Tacr1	1	1	0	1	1	0	0	1	0	1	4	9	1
Tacr2	3	33	25	9	18	16	2	18	12	17	13	5	2
Tacr3	0	1	1	2	1	2	1	1	2	0	3	1	0
Tacstd2	0	0	0	0	0	0	0	0	0	0	0	0	0
Tada1	130	142	182	227	135	167	163	118	153	344	264	290	293
Tada2a	813	649	461	1739	500	623	1118	505	458	2293	956	843	2283
Tada2b	528	1142	571	736	578	739	684	1036	798	1022	1354	848	706
Tada3	863	629	509	677	305	596	961	580	520	1263	766	621	1130
Taf1	5744	3795	3094	8407	3278	4536	7098	3802	3557	10734	4758	4022	9358
Taf10	2066	1800	1230	1559	509	1485	2638	1565	1098	2700	1191	964	2200
Taf11	762	654	468	1206	424	647	1142	686	619	1440	734	520	1050
Taf12	1098	997	785	1682	659	960	1467	846	776	1937	1293	953	1577
Taf13	373	592	605	768	411	519	474	492	476	663	482	410	495
Taf15	3532	4180	3081	7493	4256	4254	4958	3867	3686	10288	6618	6147	9037
Taf1a	457	840	621	917	606	585	576	735	744	1519	1371	1246	1296
Taf1b	1520	2830	2231	3269	2829	2837	2250	2802	3213	4472	4586	4053	3819
Taf1c	493	532	499	445	166	480	623	368	431	965	609	581	792
Taf1d	8727	8698	6229	15232	6827	7652	9553	12622	7598	17396	10442	8549	12893
Taf2	2513	2547	1910	4838	2213	2288	3215	2433	2192	5651	3965	3246	4856
Taf3	2558	3523	2491	5363	3268	2459	2616	2560	2342	7116	6247	4440	5274
Taf4	2382	2833	2156	3850	1947	2644	2795	2241	2423	6727	5075	3862	5560
Taf4b	1021	3727	2046	3104	3604	2138	1843	2637	2369	3139	4910	3544	2580
Taf5	714	638	451	1043	527	679	939	736	615	1489	872	755	1284
Taf5l	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf6	972	640	437	918	261	577	1066	585	380	1315	562	445	1329
Taf6l	1046	963	741	1121	559	955	1324	1009	852	1819	1328	1094	1590
Taf7	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf7l	1	3	2	6	4	3	2	0	4	15	5	1	4
Taf8	1158	1766	1253	1325	941	1549	1426	1790	1579	2439	2401	1975	1929
